Brand,Model,Length,Width,Thickness,Volume,Image URL
lost-surfboards,Lost The Ripper,5’6 , 19.25 , 2.38 ,27.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_Ripper.webp?v=1705952146
lost-surfboards,Lost The Ripper,6’2 , 21.00 , 2.72 ,38.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_Ripper.webp?v=1705952146
lost-surfboards,Lost The Ripper,5’5 , 18.50 , 2.25 ,24.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_Ripper.webp?v=1705952146
lost-surfboards,Lost Uber Driver,5’6” , 18.63” , 2.32” ,26.0,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,6’5” , 20.88” ," 2.70"" ",40.0,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,"6'4"" ", 20.75” , 2.65” ,38.5,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,"6'0"" ", 20.00” , 2.50” ,33.5,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,5’5” , 18.50” , 2.28” ,25.0,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,6’3” , 20.50” , 2.63” ,37.0,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,6’6” , 21.00” , 2.75” ,41.5,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,"5'11"" ", 19.75” , 2.48” ,32.0,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,"6'1"" ", 20.25” , 2.55” ,34.5,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,5’4” ," 18.25"" ", 2.25” ,24.0,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,"5'10"" ", 19.50” , 2.45” ,30.7,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,5’7” , 18.75” , 2.35” ,27.0,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,"6'2"" ", 20.38” , 2.56” ,35.5,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,"5'9"" ", 19.25” , 2.40” ,29.2,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver,"5'8"" ", 19.00” , 2.38” ,28.2,https://cdn.shopify.com/s/files/1/2062/5873/files/18_Lost_UberDriver.png?12796374104067898960
lost-surfboards,Lost Uber Driver XL,"6’2"" ", 21.00” ,  2.75” ,40.0,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,5’6” , 19.25” , 2.35” ,27.5,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,6’5” , 21.63” , 2.80” ,44.0,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL," 5’4"" ", 18.75” ,  2.30” ,25.2,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,5’10” , 20.25” , 2.50” ,33.0,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,5’5” , 19.00” , 2.32” ,26.2,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,5’8” , 19.75” , 2.42” ,30.0,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,"6’3"" ", 21.25” , 2.77” ,41.5,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,6’6” , 21.75” , 2.85” ,45.0,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,5’11” , 20.38” , 2.56” ,34.5,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,"6’4"" ", 21.50” , 2.80” ,43.0,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,"6’0"" ", 20.50” , 2.62” ,36.0,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,"6’1"" ", 20.75” , 2.69” ,38.0,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,5’7” , 19.50” , 2.38” ,28.5,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,Lost Uber Driver XL,5’9” , 20.00” ,  2.45” ,31.5,https://cdn.shopify.com/s/files/1/2062/5873/files/UberDriver_XL.jpg?16509013064793591192
lost-surfboards,MR California Twin,"6’2"" ", 22.00” ,  2.77” ,41.5,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’2” , 19.00” , 2.25” ,24.0,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’6” , 20.00” , 2.36” ,28.5,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’10” , 21.00” , 2.60” ,35.0,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’5” ," 19.75"" ", 2.30” ,27.0,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’8” , 20.50” , 2.50” ,32.0,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,"6’3"" ", 22.00” , 2.77” ,42.2,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’11” , 21.25” , 2.63” ,36.5,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,"6’4"" ", 22.00” , 2.80” ,43.0,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’4” ," 19.50"" ", 2.28” ,26.0,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,"6’0"" ", 21.50” , 2.70” ,38.5,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,"6’1"" ", 21.75” ," 2.73"" ",40.0,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’7” , 20.25” , 2.42” ,30.0,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
lost-surfboards,MR California Twin,5’9” , 20.75” ,  2.54” ,33.5,https://cdn.shopify.com/s/files/1/2062/5873/files/MarkRichards_CaliTwin.jpg?16509013064793591192
pyzel,Pyzel Astro Pop,7’0” , 22.00” , 3.13” ,54.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,6’10” , 21.50” , 3.06” ,50.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,5’4” , 19.25” ,  2.25” ,25.9,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,6’8” , 21.25” , 3.00” ,47.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,"6’0"" ", 20.25” , 2.56” ,35.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,5’10” , 20.00” , 2.44” ,32.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,5’5” , 19.38” ,  2.31” ,27.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,5’7” , 19.63” ,  2.38” ,29.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,6’2” , 20.50” , 2.63” ,37.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,5’8” , 19.75” , 2.38” ,29.9,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,5’9” , 19.88” , 2.44” ,31.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,6’4” , 20.75” , 2.75” ,40.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Astro Pop,6’6” , 21.00” , 2.88” ,44.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Astropop.jpg?2483
pyzel,Pyzel Crisis Twin,6’10” , 21.50” , 3.00” ,47.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Crisis Twin,5’6” , 19.25” , 2.44” ,27.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Crisis Twin,6’8” , 21.00” , 2.875” ,43.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Crisis Twin,6’0” , 19.75” , 2.63” ,33.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Crisis Twin,5’10” , 19.75” , 2.56” ,31.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Crisis Twin,6’2” , 20.25” , 2.69” ,35.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Crisis Twin,5’8” , 19.5” , 2.50” ,29.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Crisis Twin,6’4” , 20.50” , 2.75” ,38.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Crisis Twin,6’6” , 20.75” , 2.81” ,40.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Pyzel_CrisisTwin_1.webp?v=1718809454
pyzel,Pyzel Ghost,"6'5"" ", 20.38” ," 3.00"" ",39.4,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,7’0” , 20.00” , 2.875” ,40.1,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,6’10” , 19.88” ," 2.56"" ",38.0,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,6’5” , 19.63” ," 2.50"" ",33.1,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,6’8” ," 19.75"" "," 2.56"" ",36.1,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"6'4"" "," 19.50"" "," 2.50"" ",31.6,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"6'0"" ", 19.13” ," 2.38"" ",27.2,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"7'0"" "," 21.00"" ", 3.19” ,47.3,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"6'10"" ", 20.88” , 3.13” ,45.0,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"5'11"" "," 19.00"" ", 2.31” ,26.0,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"6'1"" "," 19.25"" "," 2.44"" ",28.5,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"6'3"" "," 20.00"" "," 2.75"" ",34.5,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"5'10"" ", 18.75” ," 2.31"" ",25.4,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"6'6"" ", 19.69” ," 2.56"" ",34.4,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,5’7” , 18.38” , 2.13” ,22.2,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"6'2"" "," 19.38"" "," 2.44"" ",29.7,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"6'8"" "," 20.75"" "," 3.062"" ",42.6,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"5'9"" ", 18.63” , 2.25” ,24.3,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost,"5'8"" ", 18.50” , 2.18” ,23.2,https://cdn.shopify.com/s/files/1/2062/5873/files/ghost_cutout_v2.jpg?9829650937582096781
pyzel,Pyzel Ghost XL,"7'0"" "," 21.38"" "," 3.25"" ",48.9,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"6'10"" "," 21.13"" "," 3.19"" ",47L,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"5'11"" "," 19.38"" "," 2.63"" ",30.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"6'1"" "," 19.75"" "," 2.75"" ",33.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"6'4"" "," 20.25"" "," 3.00"" ",38.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"5'10"" "," 19.25"" "," 2.56"" ",28.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"6'0"" "," 19.63"" "," 2.63"" ",31.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"6'3"" "," 20.00"" "," 2.88"" ",36.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"6'2"" "," 19.88"" "," 2.81"" ",34.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"6'8"" "," 20.88"" "," 3.13"" ",44.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"5'9"" "," 19.13"" "," 2.50"" ",27.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Ghost XL,"6'6"" "," 20.75"" "," 3.06"" ",42.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Ghost_XL_Cutout.png?v=1712937959
pyzel,Pyzel Grom Ghost,4’10” , 17.38” ,  2.06” ,17.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P__0001_GromGhost.jpg?v=1648137208
pyzel,Pyzel Grom Ghost,5’2” , 17.75” ,  2.13” ,20.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P__0001_GromGhost.jpg?v=1648137208
pyzel,Pyzel Grom Ghost,5’0” , 17.50” ,  2.06” ,18.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P__0001_GromGhost.jpg?v=1648137208
pyzel,Pyzel Grom Ghost,5’4” , 17.88” ,  2.19” ,21.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P__0001_GromGhost.jpg?v=1648137208
pyzel,Pyzel Grom Red Tiger,"4'9"" "," 17.06"" "," 1.88"" ",16.7,https://cdn.shopify.com/s/files/1/2062/5873/files/red-tiger.jpg?v=1678133465
pyzel,Pyzel Grom Red Tiger,"4'10"" "," 17.13"" "," 1.88"" ",17.1,https://cdn.shopify.com/s/files/1/2062/5873/files/red-tiger.jpg?v=1678133465
pyzel,Pyzel Grom Red Tiger,"4'8"" "," 17"" "," 1.81"" ",15.9,https://cdn.shopify.com/s/files/1/2062/5873/files/red-tiger.jpg?v=1678133465
pyzel,Pyzel Grom Red Tiger,"5'0"" "," 17.31"" "," 2"" ",19L,https://cdn.shopify.com/s/files/1/2062/5873/files/red-tiger.jpg?v=1678133465
pyzel,Pyzel Mid Length Crisis,7’10” , 22.25” , 3.13” ,58.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MidMan.jpg?v=1631282472
pyzel,Pyzel Mid Length Crisis,7’0” , 21.00” , 2.81” ,44.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MidMan.jpg?v=1631282472
pyzel,Pyzel Mid Length Crisis,7’2” , 21.25” , 2.88” ,47.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MidMan.jpg?v=1631282472
pyzel,Pyzel Mid Length Crisis,6’10” , 20.88” , 2.75” ,41.9,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MidMan.jpg?v=1631282472
pyzel,Pyzel Mid Length Crisis,6’8” , 20.63” , 2.63” ,38.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MidMan.jpg?v=1631282472
pyzel,Pyzel Mid Length Crisis,7’4” , 21.50” , 3.00” ,50.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MidMan.jpg?v=1631282472
pyzel,Pyzel Mid Length Crisis,7’6” , 21.75” , 3.06” ,53.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MidMan.jpg?v=1631282472
pyzel,Pyzel Mid Length Crisis,6’6” , 20.38” , 2.56” ,36.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MidMan.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"5'5"" ", 18.75” , 2.44” ,26.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"5'7"" ", 19.13” , 2.50” ,28.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,5’2” , 18.50” ," 2.31"" ",23.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"5'4"" ", 18.63” , 2.38” ,25.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"5'11"" ", 19.75” , 2.56” ,32.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,5’3” , 18.63” , 2.38” ,25.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,6’1” , 20.00” , 2.69” ,34.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"5'10"" ", 19.50” , 2.56” ,31.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"6'0"" ", 19.88” , 2.63” ,33.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"6'2"" ", 20.13” , 2.75” ,36.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"5'6"" ", 19.00” , 2.44” ,27.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"5'9"" ", 19.38” , 2.50” ,29.9,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Ghost,"5'8"" "," 19.25"" ", 2.50” ,29.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_P_MiniG.jpg?v=1631282472
pyzel,Pyzel Mini Padillac,"6'2"" ", 19.25” , 2.75” ,32.8,https://cdn.shopify.com/s/files/1/2062/5873/files/minipadillac.jpg?v=1674240530
pyzel,Pyzel Mini Padillac,6’10” , 20.75” , 3.00” ,42.8,https://cdn.shopify.com/s/files/1/2062/5873/files/minipadillac.jpg?v=1674240530
pyzel,Pyzel Mini Padillac,6’8” , 20.50” , 2.88” ,39.6,https://cdn.shopify.com/s/files/1/2062/5873/files/minipadillac.jpg?v=1674240530
pyzel,Pyzel Mini Padillac,6’4” , 19.63” , 2.75” ,34.3,https://cdn.shopify.com/s/files/1/2062/5873/files/minipadillac.jpg?v=1674240530
pyzel,Pyzel Mini Padillac,6’0” , 19.00” , 2.63” ,30.2,https://cdn.shopify.com/s/files/1/2062/5873/files/minipadillac.jpg?v=1674240530
pyzel,Pyzel Mini Padillac,6’6” , 20.13” , 2.81” ,36.9,https://cdn.shopify.com/s/files/1/2062/5873/files/minipadillac.jpg?v=1674240530
pyzel,Pyzel Padillac,"10'0"" "," 21.50"" "," 3.63"" ",80.4,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"6'10"" "," 19.75"" "," 2.75"" ",38.7,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"7'0"" "," 19.875"" "," 2.75"" ",39.8,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"8'6"" "," 21"" "," 3.50"" ",64.5,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"7'2"" "," 20"" "," 2.875"" ",42.6,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"9'0"" "," 21.25"" "," 3.50"" ",69.1,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"9'6"" "," 21.50"" "," 3.50"" ",73.3,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"7'6"" "," 20.38"" "," 3.125"" ",49.4,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"7'10"" "," 20.50"" "," 3.25"" ",53.9,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"7'4"" "," 20.25"" "," 3"" ",46.0,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Padillac,"8'0"" "," 20.75"" "," 3.38"" ",58.0,https://cdn.shopify.com/s/files/1/2062/5873/files/padillac_board-web-cutout.png?9829650937582096781
pyzel,Pyzel Phantom,"5'7"" "," 19.00"" "," 2.375"" ",26.7,https://cdn.shopify.com/s/files/1/2062/5873/files/PyzelPhantomCutout.png?11374091225968594050
pyzel,Pyzel Phantom,"5'11"" "," 19.75"" "," 2.5"" ",31.0,https://cdn.shopify.com/s/files/1/2062/5873/files/PyzelPhantomCutout.png?11374091225968594050
pyzel,Pyzel Phantom,"6'1"" "," 20.25"" "," 2.625"" ",34.4,https://cdn.shopify.com/s/files/1/2062/5873/files/PyzelPhantomCutout.png?11374091225968594050
pyzel,Pyzel Phantom,"6'4"" "," 20.625"" "," 2.75"" ",38.2,https://cdn.shopify.com/s/files/1/2062/5873/files/PyzelPhantomCutout.png?11374091225968594050
pyzel,Pyzel Phantom,"5'10"" "," 19.50"" "," 2.5"" ",30.1,https://cdn.shopify.com/s/files/1/2062/5873/files/PyzelPhantomCutout.png?11374091225968594050
pyzel,Pyzel Phantom,"6'0"" "," 20.00"" "," 2.562"" ",32.6,https://cdn.shopify.com/s/files/1/2062/5873/files/PyzelPhantomCutout.png?11374091225968594050
pyzel,Pyzel Phantom,"6'6"" "," 21.00"" "," 3.00"" ",43.4,https://cdn.shopify.com/s/files/1/2062/5873/files/PyzelPhantomCutout.png?11374091225968594050
pyzel,Pyzel Phantom,"6'2"" "," 20.375"" "," 2.687"" ",35.9,https://cdn.shopify.com/s/files/1/2062/5873/files/PyzelPhantomCutout.png?11374091225968594050
